EMPIRE_BM_TECH_1;Tecnologías disponibles en el mercado negro para el nivel tecnológico uno imperial.
EMPIRE_BM_TECH_2;Tecnologías disponibles en el mercado negro para el nivel tecnológico dos imperial.
EMPIRE_BM_TECH_3;Tecnologías disponibles en el mercado negro para el nivel tecnológico tres imperial.
EMPIRE_BM_TECH_4;Tecnologías disponibles en el mercado negro para el nivel tecnológico cuatro imperial.
EMPIRE_BM_TECH_5;Tecnologías disponibles en el mercado negro para el nivel tecnológico cinco imperial.
Hint_IDC_CUSTOM_CAMPAIGN_BUTTON;Únete a las conquistas galácticas que enfrentan al Imperio, a la Rebelión y al Consorcio Zann.
Hint_IDC_NEW_CAMPAIGN_BUTTON;Vive la historia de la campaña, que narra el ascenso al poder de Tyber Zann.
Hint_IDC_NEW_CAMPAIGN_BUTTON_DEMO;[TBL]
Hint_IDC_NEW_FIGHT_BUTTON;Inicia la batalla.
Hint_IDC_SKIRMISH_GAMES_BUTTON;Batalla en el espacio o en tierra, con el Imperio, la Rebelión, o el Consorcio Zann.
Hint_IDC_SKIRMISH_GAMES_BUTTON_DEMO;[TBL]
ITEXT_SFX_MCC_NTERDICTOR_1;Tenemos que destruir ese Interdictor, o no iremos a ninguna parte.
ITEXT_SFX_MCF_INTERDICTOR_1;Tenemos que destruir ese Interdictor, o no iremos a ninguna parte.
LANGUAGE_CHINESE;Chino
LANGUAGE_ENGLISH;Inglés
LANGUAGE_FRENCH;Francés
LANGUAGE_GERMAN;Alemán
LANGUAGE_ITALIAN;Italiano
LANGUAGE_JAPANESE;Japonés
LANGUAGE_KOREAN;Coreano
LANGUAGE_SPANISH;Español
MB_LAND_PLANET_ALZOCIII_INTIMIDATION;El comisionado de alimentos es un poder en la sombra importante en el planeta. Si conseguimos controlarle, los niveles de producción de las minas pueden ser cambiados a voluntad del Consorcio Zann. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo.  
MB_LAND_PLANET_ANAXES_INTIMIDATION;El comandante de flota Flankar está en Anaxes. Si eliminamos a sus guardias y lo herimos, el temor se esparcirá entre muchos capitanes de naves a lo largo de la galaxia. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_LAND_PLANET_BESTINE_KIDNAPPING;Los océanos de Bestine están llenos de enormes astilleros. Secuestrar al comandante Falan pondrá a todo el planeta y a sus astilleros de rodillas. Ese hombre guarda secretos de toda la galaxia y pronto serán nuestros. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_LAND_PLANET_BOTHAWUI_INTIMIDATION;Si intimidamos al senador galáctico Polo Se'Lab pondremos importante información y el poder político de muchos planetas conectados con Bothawui en manos del Consorcio Zann. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_LAND_PLANET_BYSS_KIDNAPPING;Byss es un mundo extremadamente peligroso, valorado por el Emperador. Tomar al gobernador Kirith puede proporcionarnos grandes beneficios económicos. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_LAND_PLANET_CARIDA_KIDNAPPING;Capturar al almirante Dalken Hol nos permitirá liberar la región para hacer negocios en torno a la Academia Imperial. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_LAND_PLANET_DANTOOINE_INTIMIDATION;Con pequeños enclaves dispersos por el planeta, debería ser fácil convencer a los lugareños para que apoyen al Consorcio.
MB_LAND_PLANET_FELUCIA_TUTORIAL;Situado en el Borde Exterior, Felucia solía ser una importante propiedad de la Federación de Comercio. Se trata de un mundo difícil de colonizar, repleto de formas de vida fungosa e inmensas plantas primitivas. La mayor parte del planeta es fétida y húmeda, con extraños bosques. Muchas de las plantas indígenas se defienden de forma agresiva. Púas afiladas, esporas tóxicas y defensas venenosas frustraron los primeros intentos de agricultura. Pese a las dificultades para asentarse, en Felucia hay algunas ciudades de interés, como Kway Teow, Har Gau y Niango. Felucia se ha convertido en un exótico retiro para los ricos y los ciudadanos malpagados que atienden a sus extravagantes caprichos. 
MB_LAND_PLANET_HONOGHR_INTIMIDATE;Malinth, el comandante de flota imperial, está en Honoghr reclutando comandos de la muerte. Si podemos destruir sus fuerzas y los campamentos de tres clanes noghri, les mostraremos a Honoghr y a muchos otros mundos lo fuerte que es el Consorcio Zann. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_LAND_PLANET_HONOGHR_INTIMIDATE_STORY;Ésta va a ser una verdadera prueba del poder de Fen. Hay que ir al planeta y sobornar a los comandos de la muerte noghri, al servicio de Darth Vader. Si conseguimos cuidadosamente tomarnos el tiempo necesario para cambiar las alianzas de un pequeño grupo de estos poderosos comandos, obtendremos a cambio grandes recompensas. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_LAND_PLANET_KUAT_KIDNAPPING;Bevel Lemelisk es un genial diseñador de naves y la víctima perfecta para ayudar al Consorcio Zann. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_LAND_PLANET_MUUNILINST_KIDNAPPING;El presidente San Hill es la cabeza del clan de banqueros intergalácticos en el planeta. Debemos hacernos con él para promover el Consorcio Zann en este sector. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_LAND_PLANET_NABOO_INTIMIDATION;Usaremos la intimidación con el presidente de la comisión para el comercio de la energía de plasma. De este modo, el Consorcio tendrá vía libre para entrar en el grupo más poderoso del planeta.  
MB_LAND_PLANET_NALHUTTA_KIDNAPPING;Si secuestramos al director del Puerto especial detendremos el flujo de minerales de la luna de Nar Shaddaa. Si la mina no puede procesar esos recursos la habilidad de nuestros enemigos para construir naves de guerra sufrirá un duro revés.  
MB_LAND_PLANET_SALEUCAMI_INTIMIDATION;Hay que intimidar al gobernador Koong Eeth para poder corromper Saleucami. Si se mutila a Eeth y se le deja en el hospital durante unos meses para que regenere sus miembros amputados se entenderá el mensaje de que el Consorcio Zann quiere que el gobernador esté a su servicio.
MB_LAND_PLANET_SHOLA_02;Jabba creía que podría absorber todos mis planetas y hacerse con el control del consorcio. Shola era uno de mis almacenes para el contrabando, y a Jabba no perdió tiempo para robarme todo lo que tenía allí. Por desgracia, Urai eligió Shola como escondite para el artefacto Sith. Tenemos que recuperarlo y destruir las fuerzas de Jabba antes de que consigan descubrirlo.
MB_LAND_PLANET_TARIS_INTIMIDATION;Un duelista rodiano, llamado Twitch, es el objetivo perfecto para ser intimidado. Si el Consorcio Zann consigue atemorizarlo, el resto del mundo caerá rápidamente. 
MB_LAND_PLANET_THYFERRA_KIDNAPPING;Ungarr Daris es una fuerza política considerable en el planeta. Capturarlo nos abrirá muchas puertas en todos los niveles de la sociedad.
MB_LAND_PLANET_UTAPAU_KIDNAPPING;La familia Fey posee una larga tradición de liderazgo en el planeta. Si capturamos a alguien como Garnak Fey mostraremos al planeta y al sector a quién deben temer. 
MB_SPACE_PLANET_AETENII_PIRACY;Aeten II es conocido por sus yacimientos de los escasos cristales estigios, que se usan en la fabricación de dispositivos de camuflaje. Establecer un anillo de piratería en las lunas cercanas a Aeten II aportará abundantes créditos al Consorcio. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_SPACE_PLANET_BESPIN_PIRACY;Bespin es perfecto para la piratería. El gigante gaseoso tiene muchas plataformas flotantes en las que se pueden ocultar las naves. El sistema importa gas tibanna constantemente, y capturar algunos de los transportes es una tarea perfecta para los socios de Zann. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo.  
MB_SPACE_PLANET_BESPIN_PIRACY_STORY;Bespin es perfecto para la piratería. El gigante gaseoso tiene muchas plataformas flotantes en las que se pueden ocultar las naves. El sistema importa gas tibanna constantemente, y capturar algunos de los transportes es una tarea perfecta para los socios de Zann. 
MB_SPACE_PLANET_CORELLIA_PIRACY;Hay muchos satélites de fabricación sobre Corellia, destruir varios de ellos establecerá nuestro poder sobre el planeta. Además, nuestras unidades ganarán valiosa experiencia. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo.  
MB_SPACE_PLANET_CORULAG_PIRACY;Uno de los planetas más poderosos del sector Bormea, las amplias riquezas de su sistema son ideales para los piratas. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo.  
