_MP_SPACE_REACH;Batalla sobre Reach
_MP_SPACE_REACH_CUSTOM;Batalla por el modo económico de transporte Reach
_MP_SPACE_REACH_GLASSED;Después de la batalla de Reach
CONV_AF_TURRET;Batería de plasma Anti-Caza
CONV_AS_TURRET;Batería de torreta de plasma
CONV_TORP;Lanzador Torpedos de Plasma
CONV_TORP_CAP;Lanzador de Torpedos de Plasma Capital
COVN_BFG;Lanzador de Plasma
COVN_HEAVY_PLASMACANNON;Batería pesada de cañones de plasma
HALO_ARMOR_LEVEL_1;Nivel de armadura: [=]
HALO_ARMOR_LEVEL_2;Nivel de armadura: [==]
HALO_ARMOR_LEVEL_3;Nivel de armadura: [===]
HALO_ARMOR_LEVEL_4;Nivel de armadura: [====]
HALO_ARMOR_LEVEL_5;Nivel de armadura: [=====]
HALO_BETA_RELEASE_BUILD;Ten en cuenta que Humanity's Retaliation aún está en fase beta, infórmanos de cualquier error o problema que encuentres, ¡gracias por jugar!
HALO_BOARD;Abordar el barco
HALO_BOARD_ENC;Abordar un barco enemigo infligiendo daños
HALO_BOARDING_ACTIVE;Abordando: Empezado, Abriéndose paso por el barco
HALO_BOARDING_FAIL;Abordaje fallido, reúna al siguiente equipo para el próximo ciclo de incursión.
HALO_BOARDING_TAKEOVER;El abordaje fue exitoso y se obtuvo el control del barco enemigo.
HALO_BOARDING_THRESH;Barco abordado tiene muy poca salud para ser útil, desguace.
HALO_BOMBERAI;Búsqueda del objetivo de los bombardeos
HALO_BOMBERAI_ENC;Hará que el Escuadrón de Bombarderos busque objetivos para bombardear automáticamente, activará automáticamente habilidades y volverá a naves cercanas si tiene poca salud o no hay enemigos a su alcance.
HALO_CLUSTERBOMB;Bomba de racimo Anti-Caza
HALO_CLUSTERBOMB_ENC;La Shortsword lanzará una pequeña bomba de racimo de uso antiaéreo que aturde a las naves enemigas cercanas al impactar.
HALO_COVN_ARDO_MORE;Ardo 'Moretumee
HALO_COVN_ARDO_MORE_BUFF;Bonificación de batalla de Maestro de Nave: Se aplica a fragatas, naves de clase Corbeta, cazas y bombarderos: 10% de bonificación a la salud, 5% de bonificación a todos los daños y 5% de bonificación a los escudos.
HALO_COVN_ARDO_MORE_ENC;El general Ardo 'Moretumee, un líder tranquilo y de palabras muy eficientes, se abrió camino ascendiendo en los rangos del Ministerio de Intercesión Fervorosa del Covenant, hasta encontrarse en la categoría de Capitan de Nave. Su flota se dedicaba sobre todo a recuperar artefactos de los Forerunner.
HALO_COVN_JUL_MDAMA;Jul 'Mdama
HALO_COVN_JUL_MDAMA_BUFF;Bonificación de batalla de Maestro de Nave: se aplica a las naves de clase Capitales, Fragatas y Corbetas: 15 % de bonificación a la salud, 10 % de bonificación a todos los daños, 10 % de bonificación a los escudos, con una bonificación del 15 % al movimiento.
HALO_COVN_JUL_MDAMA_ENC;Conocido como la «Mano del Didacta», Jul era un Maestro de Nave Sanhelili. Jul fue un gran guerrero del Pacto que ascendió en las Fuerzas Armadas del Pacto hasta llegar al mando del «Brillante de los Profanos».
HALO_COVN_MACCABEUS;Maccabeus
HALO_COVN_MACCABEUS_BUFF;Bonificación de batalla de Maestro de Nave: se aplica a capitales, fragatas, corbetas, cazas y bombarderos: 10% de bonificación a la salud, 10% de bonificación a todos los daños, 25% de bonificación a los escudos y 15% de bonificación al movimiento.
HALO_COVN_MACCABEUS_ENC;Maccabeus, un Jefe de Guerra Jirlhanae, también era un Maestro de Nave Covenant, al mando de un Crucero de Batalla clase CCS. La forma en que todos los Jiralhanae ascendieron en la cadena de mando, una batalla a muerte contra su Jefe, quien en ese momento era su propio padre, quien estaba feliz de morir a manos de alguien a quien amaba. Dada la relación entre los Sangheili y los Jiralhanae, le dieron a Maccabeus un CCS varios degradados, lo que no impidió que Maccabeus fuera un gran luchador.
HALO_COVN_NIZAT_KVAROSEE;Nizat 'Kvarosee
HALO_COVN_NIZAT_KVAROSEE_BUFF;Bonificación de batalla de Maestro de flota: se aplica a capitales, fragatas y naves de clase corbeta: 35% de bonificación a la salud, 30% de bonificación a todos los daños, 25% de bonificación a los escudos, con un 30% de bonificación al movimiento.
HALO_COVN_NIZAT_KVAROSEE_ENC;"Nizat 'Kvarosee, un oficial Sangheili de la Flota Covenant, era el capitán del Pious Rampage, un Carguero de Asalto clase CAS. Después de varios años de demostrar su gran habilidad como táctico naval, rápidamente ascendió de rango hasta convertirse en el Maestro de Flota de la ""Flota de la Obediencia Inexorable""."
HALO_DASH;------------------------------
HALO_ENGINE_POWER;Potencia máxima del motor
HALO_ENGINE_POWER_ENC;Aumenta la potencia del motor durante un breve periodo.
HALO_FIGHTERS_MUSASHI;Esta Nave Transporta: 1/3 Escuadras Shortsword, 3/3 Escuadras Baselard
HALO_FIGHTERS_POSEIDON;Este barco lleva: 1/3 Escuadras de Longsword, 1/4 Escuadras de Sábre.
HALO_FIGHTERS_SOF;Este barco transporta: 2/12 escuadrones de Sabre, 2/210 escuadrones de Longswords y 1/12 escuadrones de Broadswords.
HALO_FIRE_MAC;Alternar Fuego a MAC(s)
HALO_FIRE_MAC_ENC;Dispara todos los MAC posibles a un objetivo
HALO_FIRE_PLASMA_LANCE;Lanza de Plasma de Fuego
HALO_FIRE_PLASMA_LANCE_EFFECTS;Efectos de la habilidad de lanza
HALO_FIRE_PLASMA_LANCE_EFFECTS_ENC;"Después de disparar la lanza de plasma, la velocidad de la nave se reduce en un 40% y el retraso del arma aumenta en un 50%; esto se activa automáticamente."
HALO_FIRE_PLASMA_LANCE_ENC;Dispara un enorme rayo de plasma concentrado, lo suficientemente potente como para destruir planetas enteros.
HALO_FIRE_ROCKETS;Alternar cohetes
HALO_FIRE_ROCKETS_ENC;Cambia entre el Cañón y los Cohetes Anti-Cazas.
HALO_FIRE_SHIVAS;Disparar Shiva Nuclear
HALO_FIRE_SHIVAS_ENC;Disparar un Misil Nuclear Shiva
HALO_HARD_OFFENSIVE;Ofensiva relámpago
HALO_HARD_OFFENSIVE_ENC;Cuando se activa, la potencia del motor de la nave aumenta un 50% a costa de que las armas disparen un 60% más lento y los escudos se consuman, pero las armas infligen 2,4 veces más daño durante 7 segundos.
HALO_LAST_DEFENSE;Última defensa
HALO_LAST_DEFENSE_ENC;Cuando se activa, la nave recibe un 25% menos de daño y dispara sus armas un 35% más rápido, pero se ralentiza un 60% durante 8 segundos.
HALO_LONGSWORD_SHIVA;Lanzar un Nuclear Shiva
HALO_LONGSWORD_SHIVA_ENC;El Longsword disparará una carga Nuclear Shiva.
HALO_MISSILE_JAM;Misiles atascados
HALO_OBJECTIVES_FAR_ISLE_MOVE_LONGSWORD;Mueva el Longsword al lugar designado.
HALO_OBJECTIVES_FAR_ISLE_NUKE;Espera a que se active la bomba nuclear y los insurrectores serán erradicados de Far Isle.
HALO_OBJECTIVES_FAR_ISLE_SPAWN_LONGSWORD;Trae el Longsword de tu Grupo de Refuerzos.
HALO_OBJECTIVES_FAR_ISLE_WIPE;Destruir todas las Unidades de Insurrectores para permitir el Nuclear.
HALO_OFFRADAR;Activar Radar Desactivado
HALO_OFFRADAR_ENC;Cuando se activa, el Baselard desaparece del radar enemigo y se vuelve invisible para las naves enemigas, pero no puede disparar.
HALO_PLANET_AKTIS_4;Aktis IV
HALO_PLANET_AKTIS_4_ENC;ESPECIALIDAD DEL PLANETA: Las unidades de exploradores son un 15% más baratas. Desenterrar artefactos Forerunner es un 20% más barato y lleva un 15% menos de tiempo.
HALO_PLANET_ALERIA;Aleria
HALO_PLANET_ALERIA_ENC;ESPECIALIDAD PLANETARIA: Las instalaciones mineras se construyen un 25% más rápido.
HALO_PLANET_ALLUVION;Aluvión
HALO_PLANET_ALLUVION_ENC;ESPECIALIDAD DE PLANETA: Las mejoras tecnológicas son un 10% más baratas y se investigan un 5% más rápido.
HALO_PLANET_ARCADIA;Arcadia
HALO_PLANET_ARCADIA_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_BALAHO;Balaho
HALO_PLANET_BALAHO_ENC;ESPECIALIDAD PLANETARIA: Los Cazas y Bombarderos son un 15% más baratos de construir.
HALO_PLANET_BATTLE_OF_REACH;La Batalla por Reach
HALO_PLANET_BHEDALON;Bhedalon
HALO_PLANET_BHEDALON_ENC;ESPECIALIDAD DE PLANETA: Las estaciones espaciales tardan un 20% menos en construirse.
HALO_PLANET_CHARYBDIS_IX;Charybdis IX
HALO_PLANET_CHARYBDIS_IX_ENC;ESPECIALIDAD PLANETARIA: Las instalaciones mineras son un 15% más baratas de construir.
HALO_PLANET_CHI_CETI_IV;Chi Ceti IV
HALO_PLANET_CHI_CETI_IV_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_CODISFOLD;Codisfold
HALO_PLANET_CODISFOLD_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_DOISAC;Doisac
HALO_PLANET_DOISAC_ENC;ESPECIALIDAD DEL PLANETA: Ninguno
HALO_PLANET_EARTH;Tierra
HALO_PLANET_EARTH_ENC;ESPECIALIDAD PLANETARIA: Las naves capitales cuestan un 15% menos de construir y se construyen un 10% más rápido.
HALO_PLANET_EAYN;Eayn
HALO_PLANET_EAYN_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_ERIDANUS_2;Eridanus II
HALO_PLANET_ERIDANUS_2_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_FALAKNUMA;Falaknuma
HALO_PLANET_FAR_ISLE;Far Isle
HALO_PLANET_FAR_ISLE_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_FELDOKRA;Feldokra
HALO_PLANET_FELDOKRA_ENC;ESPECIALIDAD PLANETARIA: Las fragatas son un 25% más baratas de construir
HALO_PLANET_GAO;Gao
HALO_PLANET_GAO_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_GLYKE;#ERROR!
HALO_PLANET_GLYKE_ENC;ESPECIALIDAD PLANETARIA: Las fragatas, corbetas y cazas son un 10% más baratas y se construyen un 5% más rápido.
HALO_PLANET_HARMONY;Harmony
HALO_PLANET_HARVEST;Harvest
HALO_PLANET_HARVEST_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_HOUSE_RESEARCH;Este planeta puede producir Instalaciones de Investigación.
HALO_PLANET_INSTALLATION_05;Instalación 05
HALO_PLANET_INSTALLATION_05_ENC;ESPECIALIDAD PLANETA: Elimina toda masa viviente.
HALO_PLANET_KAMCHATKA;Kamchatka
HALO_PLANET_KAMCHATKA_ENC;ESPECIALIDAD PLANETA: Los artefactos Forerunner son un 15 % más baratos de desenterrar
HALO_PLANET_KARAVA;Karava
HALO_PLANET_KARAVA_ENC;ESPECIALIDAD PLANETARIA: Se revelan detalles sobre los planetas cercanos
HALO_PLANET_KHAELMOTHKA;Khael'mothka
HALO_PLANET_KHAELMOTHKA_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_KOSTRODA;Kostroda
HALO_PLANET_KOSTRODA_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_MADRIGAL;Madrigal
HALO_PLANET_MARS;Mars
HALO_PLANET_MARS_ENC;ESPECIALIDAD PLANETA: Las fragatas y los cazas son un 20 % más baratos y tardan un 5 % menos en construirse.
HALO_PLANET_MERIDIAN;Meridian
HALO_PLANET_MERIDIAN_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_MIRIDEM;Miridem
HALO_PLANET_MIRIDEM_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_NEFOLUZO;Nefoluzo
HALO_PLANET_NEFOLUZO_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_NETHEROP;Netherop
HALO_PLANET_NETHEROP_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_NEW_CARTHAGE;Nueva Cartago
HALO_PLANET_NEW_JERUSALEM;Nueva Jerusalén
HALO_PLANET_PALAMOK;Palamok
HALO_PLANET_PALAMOK_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_REACH;Reach
HALO_PLANET_REACH_ENC;ESPECIALIDAD DEL PLANETA: Las capitales de clase Halcyon, las plataformas orbitales MAC y los cazas de clase Sabre son un 20% más baratos en este planeta y se construyen un 10% más rápido.
HALO_PLANET_RHANELO;Rhanelo
HALO_PLANET_RHANELO_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_SANGHELIOS;Sanghelios
HALO_PLANET_SANGHELIOS_ENC;ESPECIALIDAD PLANETARIA: Las capitales y supernavees son un 15% más baratas
HALO_PLANET_SONG_OF_VICTORY;Canción de victoria
HALO_PLANET_SONG_OF_VICTORY_ENC;ESPECIALIDAD PLANETARIA: Las naves de clase CAS tardan un 15% menos en construirse.
HALO_PLANET_TANTALUS;Tantalus
HALO_PLANET_TARAM;Taram
HALO_PLANET_TARAM_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_TE;Te
HALO_PLANET_TE_ENC;ESPECIALIDAD PLANETARIA: Con la ayuda de los Lekgolo, las fragatas y corbetas se construyen un 10% más rápido.
HALO_PLANET_TERRA_NOVA;Terra Nova
HALO_PLANET_TERRA_NOVA_ENC;ESPECIALIDAD PLANETARIA: Las fragatas son un 15% más baratas y se construyen un 10% más rápido.
HALO_PLANET_THRESHOLD;Threshold
HALO_PLANET_THRESHOLD_ENC;ESPECIALIDAD PLANETARIA: Los artefactos Forerunner tardan un 10% menos en desenterrarse.
HALO_PLANET_THUA;Thua
HALO_PLANET_THUA_ENC;ESPECIALIDAD PLANETARIA: Las instalaciones mineras son un 25% más baratas
HALO_PLANET_TROVE;Trove
HALO_PLANET_TROVE_ENC;ESPECIALIDAD PLANETARIA: Los artefactos Forerunner son un 10% más baratos y tardan un 10% menos en construirse.
HALO_PLANET_TVAO;T'vao
HALO_PLANET_TVAO_ENC;Ninguno
HALO_PLANET_ULGETHON;Ulgethon
HALO_PLANET_ULGETHON_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_VEN_3;Ven III
HALO_PLANET_VEN_3_ENC;ESPECIALIDAD PLANETARIA: Los Cazas y Bombarderos construyen un 15% más rápido.
HALO_PLANET_VICTORS_TRUTH;Victors' Truth
HALO_PLANET_VICTORS_TRUTH_ENC;ESPECIALIDAD DEL PLANETA: Ninguna
HALO_PLANET_YONHE;Yohne
HALO_PLANET_YONHE_ENC;ESPECIE DE PLANETA: Ninguna
HALO_PREPARE_FIRE;Golpe desesperado
HALO_PREPARE_FIRE_ENC;Prepara la nave para disparos entrantes aumentando la cadencia de fuego en un 35%, reduce la regeneración total del escudo en un 50% pero se recarga un 20% más rápido reduciendo la potencia del motor durante 7 segundos.
HALO_PROTECTION;Buscar protección
HALO_PROTECTION_ENC;La nave buscará la nave amiga más cercana para protegerse, al activar esta habilidad hará que la nave no siga órdenes hasta que sea desactivada.
HALO_SHIELD_LEVEL_1;Nivel de escudo: [=]
HALO_SHIELD_LEVEL_2;Nivel de escudo: [==]
HALO_SHIELD_LEVEL_3;Nivel de escudo: [===]
HALO_SHIELD_LEVEL_4;Nivel de escudo: [====]
HALO_SHIELD_LEVEL_5;Nivel de escudo: [=====]
HALO_SHIELD_LEVEL_NONE;Nivel de escudo: [Ninguno]
HALO_SHIP_HEAL_RATE_POSEIDON;Tasa de curación: 5% cada 2 segundos
HALO_SHIP_HEAL_RATE_SOF;Tasa de curación: 15% cada 4 segundos
HALO_SHIP_REPAIR_BIG;Este Nave es capaz de reparar: Cazas, Bombarderos, Corbetas y Fragatas
HALO_SHIP_REPAIR_SMALL;Esta Nave puede reparar: Cazas, Bombarderos y Corbetas en un área pequeña.
HALO_SHORTSWORD_DISABLER;Torpedo desactivador
HALO_SHORTSWORD_DISABLER_ENC;Inutiliza la nave objetivo, reduce la velocidad de la nave, la velocidad de disparo y la capacidad general de combate durante bastante tiempo.
HALO_SPACE_MAX_STARBASE_1;Nivel máximo de la estación espacial: 1
HALO_SPACE_MAX_STARBASE_2;Nivel máximo de la estación espacial: 2
HALO_SPACE_MAX_STARBASE_3;Nivel máximo de la estación espacial: 3
HALO_SPACE_MAX_STARBASE_4;Nivel máximo de la estación espacial: 4
HALO_SPACE_MAX_STARBASE_5;Nivel máximo de la estación espacial: 5
HALO_SPACE_STRUCTURES_1;Cantidad máxima de estructuras espaciales: 1
HALO_SPACE_STRUCTURES_2;Cantidad máxima de estructuras espaciales: 2
HALO_SPACE_STRUCTURES_3;Cantidad máxima de estructuras espaciales: 3
HALO_SPACE_STRUCTURES_4;Cantidad máxima de estructuras espaciales: 4
HALO_SPACE_STRUCTURES_5;Cantidad máxima de estructuras espaciales: 5
HALO_SPACE_STRUCTURES_6;Cantidad máxima de estructuras espaciales: 6
HALO_TEXT_COMMANDS_CAS;Este héroe Comanda un Carguero de asalto de clase CAS
HALO_TEXT_COMMANDS_CCS;Este héroe Comanda un Crucero de Batalla clase CCS
HALO_TEXT_COMMANDS_HALCYON;Este Héroe Comanda una Nave Capital de la Clase Halcyon
HALO_TEXT_COMMANDS_ORS;Este Héroe Comanda un Crucero Pesado Clase ORS
HALO_TEXT_COMMANDS_SDV;Este Héroe Comanda una Corbeta de Clase SDV
HALO_TEXT_COMMANDS_STALWART;Este héroe Comanda una Fragata Ligera Clase Stalwart.
HALO_TEXT_PLANET_ARTIFACTS;ARTEFACTOS FORERUNNER: Artefactos dejados por los Forerunners que necesitan ser desenterrados.
HALO_TEXT_PLANET_CAPITAL;Naves capitales
HALO_TEXT_PLANET_HIGH_INCOME;COLONIA MINERA: Aumento de los ingresos planetarios
HALO_TEXT_PLANET_HIGH_POP;ALTA POBLACIÓN: Los centros urbanos densos permiten poblaciones grandes.
HALO_TEXT_PLANET_SHIPYARDS;PRODUCCIÓN ESPECIAL DE LOS ASTILLEROS:
HALO_TEXT_PLANET_SUPER;Naves de la Super Clase
HALO_TEXT_RESEARCH_SHIELD;Investigación sobre tecnología de escudos
HALO_TEXT_RESEARCH_SHIELD_ENC;El último avance del UNSC integra tecnología Forerunner de vanguardia para equipar sus naves con escudos de energía avanzados, transformando la flota en una fuerza impenetrable en los vastos confines del espacio. Esta monumental mejora marca una nueva era para las capacidades de exploración y defensa espacial del UNSC.
HALO_TOGGLE_MAC;Alternar MAC(s)
HALO_TOGGLE_MAC_ENC;Preparar el MAC para disparar
HALO_UNSC_ADMIRAL_HOOD;Almirante de Flota Hood
HALO_UNSC_ADMIRAL_HOOD_BUFF;Bonificación de batalla almirante - Se aplica a las naves de clase Capitales, Fragatas y Corbeta: 20% de bonificación a la salud, 25% de bonificación a todos el daño, con un 15% de bonificación al movimiento.
HALO_UNSC_ADMIRAL_HOOD_ENC;Lord Terrance Hood es un respetado Almirante de la Flota de la UNSC, conocido por su brillantez estratégica y su inquebrantable compromiso con la supervivencia de la humanidad frente a las amenazas del Covenant y el Flood. Con una presencia imponente y una delicadeza diplomática, inspira esperanza y lidera a las fuerzas de la UNSC en los momentos más oscuros.
HALO_UNSC_GENERIC_FLEET_COMMANDER;Comandante de la Flota U.N.S.C.
HALO_UNSC_IN_AMBER_CLAD;U.N.S.C In Amber Clad
HALO_UNSC_MIRANDA_KEYS;Comandante Miranda Keyes
HALO_UNSC_MIRANDA_KEYS_BUFF;Bonificación de batalla de comandante - Se aplica a fragatas, corbetas, bombarderos y cazas: Proporciona una bonificación del 5% a la salud, una bonificación del 8% a todos los daños y una bonificación del 2% al movimiento.
HALO_UNSC_MIRANDA_KEYS_ENC;Miranda Keyes, hija de Jacob Keyes, era la oficial al mando del UNSC en Amber Clad, pero no siempre fue así. Miranda siguió su carrera militar, destacando en su entrenamiento y ascendiendo en el escalafón. A pesar de los intentos iniciales de mantenerla fuera de peligro, Miranda se vio empujada al frente de la guerra contra Covenant, donde destacó por su perspicacia estratégica. Sin embargo, la relación con su madre seguía siendo tensa, marcada por el resentimiento y ocasionales lagunas de comunicación. La carrera de Miranda culminó con su ascenso a Teniente Comandante y la toma del mando de la UNSC en In Amber Clad.
HALO_WEAPON_OVERIDE;Hombre las armas
HALO_WEAPON_OVERIDE_ENC;Ordenar a todo el personal de a bordo a las armas. Ralentiza mucho la nave.
LOZ_REBEL_SLICE_FAIL;Intento de corte fallido.
LOZ_REBEL_SLICE_WIN;Intento de corte superado.
